Name,deltaE_V
388306_b3lyp_3,1.4475465668242984
388306_b3lyp_prop_2,1.287733523345822
388306_b3lyp_prop_3,1.50878601077786
388306_b3lyp_prop_4,1.330877330672727
4055_b3lyp_0,1.2595560320259152
4055_b3lyp_1,1.2200041405410789
4055_b3lyp_2,0.8716291211074235
4055_b3lyp_3,0.8676562444936675
4055_b3lyp_4,1.2264396564235784
4055_b3lyp_prop_0,0.9100517360221024
4055_b3lyp_prop_1,0.9197934471675188
4055_b3lyp_prop_3,0.6947816888635374
44131424_b3lyp_prop_0,1.154410859202074
45079186_b3lyp_prop_0,1.450961608023071
45079186_b3lyp_prop_2,1.2609438176916752
45082930_b3lyp_prop_0,1.7219471679541976
45082930_b3lyp_prop_1,1.962687163808552
56972288_b3lyp_prop_0,1.369721723582909
56972288_b3lyp_prop_2,1.179459029902398
57123206_b3lyp_prop_2,1.1597851272218187
57194585_b3lyp_prop_0,1.527357848370247
57194585_b3lyp_prop_1,1.2410386174022474
57194585_b3lyp_prop_2,1.2083440197954138
5766_b3lyp_prop_3,0.8994528631392301
59350869_b3lyp_prop_0,0.8857382753785118
59350869_b3lyp_prop_1,1.106518647976264
59350869_b3lyp_prop_2,1.1084234518331544
59350876_b3lyp_prop_1,1.064749020573307
59350876_b3lyp_prop_2,1.09005570036765
59350876_b3lyp_prop_3,1.0871576773584617
599944_b3lyp_prop_0,1.0584903793341034
599944_b3lyp_prop_1,0.8561729983928447
599944_b3lyp_prop_2,0.8643636549725631
599944_b3lyp_prop_3,1.048258861481106
599944_b3lyp_prop_4,1.0839059050627189
616789_b3lyp_0,0.8578465046393027
616789_b3lyp_1,0.9613181712182316
616789_b3lyp_2,0.6019497123913341
616789_b3lyp_3,0.6064260014513159
616789_b3lyp_4,0.9748694900758824
616789_b3lyp_5,0.5983577965477195
616789_b3lyp_6,0.598031258744752
616789_b3lyp_7,0.9585834171120726
616789_b3lyp_prop_0,0.6651755946525089
616789_b3lyp_prop_1,0.4339732238167261
616789_b3lyp_prop_2,0.4586404337468711
616789_b3lyp_prop_3,0.6784139814474587
616789_b3lyp_prop_4,0.4573887054990077
616789_b3lyp_prop_5,0.4595248069647841
6699_b3lyp_prop_0,1.0547896175592706
6699_b3lyp_prop_10,1.080368412187824
6699_b3lyp_prop_2,1.018299017983523
6699_b3lyp_prop_4,1.1301654272690156
67210468_b3lyp_prop_0,1.277257102140618
67210468_b3lyp_prop_1,1.3281017593412443
67210468_b3lyp_prop_2,1.1917041975435037
67210468_b3lyp_prop_3,1.4161445146906897
67210468_b3lyp_prop_4,1.437410289163874
67210468_b3lyp_prop_5,1.2457870212980606
6773_b3lyp_prop_0,0.6653388635539925
6773_b3lyp_prop_2,0.4723278100224188
6773_b3lyp_prop_4,0.448613002020719
6773_b3lyp_prop_5,0.4787497201646899
70407085_b3lyp_prop_1,1.5658212805102876
73507565_b3lyp_prop_0,1.3017066201990135
73507565_b3lyp_prop_1,1.1612953645652473
73698_b3lyp_0,0.5135396020103927
73698_b3lyp_2,0.8931670104164018
73698_b3lyp_3,0.5048727444679977
73698_b3lyp_prop_0,0.369087441052414
73698_b3lyp_prop_2,0.6109022905113353
73698_b3lyp_prop_3,0.3602028916413612
78362_b3lyp_prop_0,2.0577504819406505
78494_b3lyp_prop_0,1.114110651914092
78494_b3lyp_prop_1,1.1278932683837588
78494_b3lyp_prop_2,1.1290089392136875
8530_b3lyp_prop_2,0.9617399492137344
8530_b3lyp_prop_3,0.9766110250297806
86210053_b3lyp_prop_0,1.9813406358501533
8718_b3lyp_prop_0,1.0452247810540207
